"k","a","c","b","PageRank"
1,"西局站",0.0743155149934811,1792.23333333333,0.0046585855222624
5,"六里桥站",0.077762619372442,4617.63333333333,0.00799429263607452
1,"莲花桥站",0.0806223479490806,2395.36666666667,0.00419587280653652
5,"公主坟站",0.0838852097130243,3823.43333333334,0.00743828972679289
8,"西钓鱼台站",0.0807079646017699,581.066666666666,0.00395957157009182
8,"慈寿寺站",0.0813995001785077,927.133333333332,0.00484248794155701
8,"车道沟站",0.0765357502517623,382.600000000001,0.00285635581136658
8,"长春桥站",0.0740019474196689,265.566666666667,0.00322620087586644
8,"火器营站",0.0722204624643649,217.3,0.00354056918069132
8,"巴沟站",0.0734299516908213,266.7,0.00380778223979247
8,"苏州街站",0.0765871682902251,390.366666666666,0.00403491334002844
2,"海淀黄庄站",0.0815450643776824,1993.33333333333,0.00704555799200299
3,"知春里站",0.0850111856823266,1769,0.00379266058280612
5,"知春路站",0.0903686087990487,4591.83189033189,0.00612999290116573
8,"西土城站",0.0851381628080657,739.957142857143,0.00340354541920029
8,"牡丹园站",0.0813995001785077,634.07619047619,0.00369131204252509
8,"健德门站",0.0806223479490806,600.885714285714,0.00393591367235117
2,"北土城站",0.0831206707983959,1989.27164502164,0.00815464659115534
8,"安贞门站",0.0826686004350979,1287.35656565656,0.00426402323744587
2,"惠新西街南口站",0.0827586206896552,2060.16666666667,0.00867082380688525
5,"芍药居站",0.0838235294117647,4471.26147186147,0.00630984783511005
3,"太阳宫站",0.0866920152091255,2212.87806637807,0.00347998376612661
2,"三元桥站",0.0905480540111199,2903.1113997114,0.00721297890272319
8,"亮马桥站",0.0850746268656716,882.166883116884,0.0038638144698622
8,"农业展览馆站",0.0825190010857763,792.93354978355,0.00408254073558772
8,"团结湖站",0.0830903790087464,821.28354978355,0.0042684580614544
2,"呼家楼站",0.0865932396505887,2219.53354978355,0.00779920484816572
8,"金台夕照站",0.0846325167037862,772.216883116883,0.00411296049667528
5,"国贸站",0.0864618885096701,4101.80876623377,0.00752567393890046
8,"双井站",0.0819848975188781,1464.1420995671,0.00399670986023754
8,"劲松站",0.078055460458747,1328.80876623377,0.00419550181740676
8,"潘家园站",0.0753719008264463,1214.1420995671,0.00436447498100059
